source_group,privacy_class,file_count,total_bytes
APS_PMMB_PREVINE_UBS,POTENTIAL_PERSON_LEVEL_DO_NOT_PACKAGE,6,3136405
APS_PMMB_PREVINE_UBS,PUBLIC_OR_AGGREGATED,10058,264804314
CENSUS_SOCIAL_ECONOMIC,PUBLIC_OR_AGGREGATED,41,2141825559
CLIMATE,PUBLIC_OR_AGGREGATED,4,102503351
CNES,PUBLIC_OR_AGGREGATED,758,360000854
GENOMICS,PUBLIC_OR_AGGREGATED,47,3821109
GEOGRAPHY_POPULATION,PUBLIC_OR_AGGREGATED,34,456303762
REGIC_MOBILITY,PUBLIC_OR_AGGREGATED,17,3033066185
SIA_OUTPATIENT,PUBLIC_OR_AGGREGATED,8627,860274686
SIH_HOSPITAL,PUBLIC_OR_AGGREGATED,2,888
SIM_MORTALITY,PUBLIC_OR_AGGREGATED,54,2864353000
SINAN_TB,PUBLIC_OR_AGGREGATED,8,2214807
SINAN_TB,SENSITIVE_LINE_LIST_DO_NOT_PACKAGE,28,144870200
SISDEPEN,PUBLIC_OR_AGGREGATED,51,422194493
WHO_CONTEXT,PUBLIC_OR_AGGREGATED,225,366381
