feature_group,metric,paired_difference,ci_low,ci_high,replicates
F1,WIS,0.0008001530400479737,-0.0033709776088528764,0.006304099937373092,1000
F1,top5_capture,-0.029694677183887363,-0.22330690352079638,0.1509728152971308,1000
F4,WIS,0.0023983323311876155,-0.003395146317849642,0.010840048030586686,1000
F4,top5_capture,-0.08326781256450536,-0.3814178106208562,0.09607586897557431,1000
F5,WIS,0.0013800823965639019,-0.005855897727147281,0.007741683622581471,1000
F5,top5_capture,-0.11308937339222329,-0.38415446514253987,0.025328163763933306,1000
F8,WIS,0.0022080023414325087,-0.00030409477312256654,0.006036962012825131,1000
F8,top5_capture,-0.07219749390997018,-0.32383155498231936,0.07201784360724697,1000
F9,WIS,0.0010209280926071198,-0.0032993633799503455,0.006849740685300778,1000
F9,top5_capture,-0.07209298228544907,-0.32376845581997465,0.11923892005915683,1000
