configuration,rows,folds,features,standard_WIS,top5_capture,coverage_80,coverage_90
F0_core,26340,25,98,0.18836013710754448,0.20568514183194236,0.8086560364464692,0.89707668944571
F0_plus_F1,26340,25,118,0.18916223177731792,0.1985331153698701,0.7938116932422171,0.8972665148063781
F0_plus_F9,26340,25,107,0.18936565099782532,0.18805159779868824,0.7953682611996963,0.8985573272589218
F0_plus_F5,26340,25,107,0.18940649368951507,0.17752073504099614,0.7897873955960516,0.893507972665148
FULL_minus_F5,26340,25,144,0.19042360002900496,0.17849778697553234,0.7919134396355353,0.8934700075930144
F0_plus_F4,26340,25,107,0.1904911204849602,0.18502637657746426,0.800949126803341,0.8936598329536826
FULL_origin_safe,26340,25,153,0.19051606039818542,0.19539499567576127,0.7834851936218679,0.8871298405466971
F0_plus_F8,26340,25,106,0.19056725210394504,0.1872197131255356,0.7996583143507973,0.8962794229309036
FULL_minus_F1,26340,25,133,0.190770837828837,0.18279750701572087,0.7865223993925589,0.8934320425208808
FULL_minus_F9,26340,25,144,0.19133038015057333,0.18502527399246657,0.7865603644646925,0.8952164009111617
FULL_minus_F4,26340,25,144,0.19188569828988877,0.17589743740901803,0.7876993166287016,0.8869020501138952
FULL_minus_F8,26340,25,145,0.19276983901153594,0.1823929406747756,0.7836370539104024,0.8890280941533789
