model,rows,folds,standard_WIS,top5_capture,coverage_80,coverage_90
ets_local_level_seasonal,26340,25,0.17754854105651371,0.2621140523880082,0.8664388762338648,0.9402429764616552
mechanistic_latent_residual_hybrid,26340,25,0.18267613199065746,0.30971377606374023,0.786712224753227,0.8829157175398633
hurdle_event_conditional_count,26340,25,0.18356146165652473,0.3171128269074667,0.7901290812452544,0.8854973424449506
dynamic_state_space_ewma,26340,25,0.18964326391148717,0.2427943621925391,0.8186028853454822,0.943204252088079
hist_gradient_boosting_core,26340,25,0.19709837027876362,0.24730620470837877,0.7819286256643888,0.8787775246772969
recent_burden_count,26340,25,0.19852478576852153,0.2118212515342791,0.841419893697798,0.9634016704631739
regime_mixture_of_experts,26340,25,0.19888732984257682,0.24208330895925248,0.7819665907365224,0.8798405466970387
seasonal_naive,26340,25,0.2031444842173771,0.18975905929156833,0.8485573272589217,0.9582004555808656
negative_binomial_v10_reverified,26340,25,0.21395704523267164,0.08774225855956777,0.8960136674259681,0.9471526195899772
spline_poisson_gam,26340,25,0.22153369850590413,0.2022092041179078,0.7934320425208808,0.8880030372057707
recent_growth_count,26340,25,0.22394682333069899,0.20276097589862369,0.8261579347000759,0.929916476841306
zero,26340,25,0.2638451025056946,0.005885063347910047,0.921753986332574,0.9629081245254366
bayesian_gamma_poisson_hierarchical,26340,25,0.30513070831977435,0.0055069875509136165,0.9626044039483675,0.9796127562642369
hhh4_style_endemic_epidemic,26340,25,4.861966803440255,0.04417309270113143,0.7887623386484435,0.8843963553530751
